Disciplina,Assunto,Pergunta,Resposta,Imagem,Selecionada
Física,Cinematica,O que é velocidade angular?,"A velocidade angular é a taxa de variação do ângulo percorrido por um objeto em um movimento circular uniforme, por unidade de tempo.",0.0,0.0
Física,Cinematica,Qual a fórmula da velocidade média?,V = S/T. S -> Espaço ou Deslocamento e T -> Tempo ,0.0,0.0
Física,Elétrica,O que é carga elétrica?,"A carga elétrica é uma propriedade fundamental das partículas, como elétrons e prótons, que pode ser positiva ou negativa.",0.0,0.0
Física,Elétrica,O que é corrente elétrica?,"A corrente elétrica é o fluxo de cargas elétricas em um circuito, medida em ampères (A).",0.0,0.0
Física,Elétrica,O que é tensão elétrica?,"A tensão elétrica, também conhecida como diferença de potencial, é a medida da energia elétrica por unidade de carga, medida em volts (V).",0.0,0.0
Física,Elétrica,O que é resistência elétrica?,"A resistência elétrica é a capacidade de um material ou componente de se opor à passagem de corrente elétrica, medida em ohms (Ω).",0.0,0.0
Física,Elétrica,Qual é a lei de Ohm?,"A lei de Ohm afirma que a corrente elétrica em um circuito é diretamente proporcional à tensão aplicada e inversamente proporcional à resistência, dada pela fórmula I = V/R.",0.0,0.0
Física,Elétrica,O que é potência elétrica?,"A potência elétrica é a taxa na qual a energia elétrica é transferida ou consumida, medida em watts (W).",0.0,0.0
Física,Elétrica,O que é circuito em série?,"Um circuito em série é aquele em que os componentes elétricos estão conectados em uma única rota, de modo que a corrente passa por cada componente sucessivamente.",0.0,0.0
Física,Elétrica,O que é circuito em paralelo?,"Um circuito em paralelo é aquele em que os componentes elétricos estão conectados em ramificações separadas, de modo que a corrente é dividida entre eles.",0.0,0.0
Física,Elétrica,O que é a lei de Kirchhoff das correntes?,A lei de Kirchhoff das correntes estabelece que a soma das correntes em um nó (ponto de conexão) em um circuito elétrico fechado é igual a zero.,0.0,0.0
Física,Elétrica,O que é capacitor?,A lei de Kirchhoff das tensões afirma que a soma das tensões em um circuito elétrico em uma malha fechada é igual a zero.,0.0,0.0
Física,Elétrica,O que é indutor?,Um capacitor é um componente elétrico que armazena carga elétrica e energia em um campo elétrico.,0.0,0.0
Física,Elétrica,O que é a lei de Joule?,Um indutor é um componente elétrico que armazena energia em um campo magnético quando uma corrente elétrica passa por ele.,0.0,0.0
Biologia,Geral,O que é a mitose?,A mitose é o processo de divisão celular que resulta na formação de duas células filhas geneticamente idênticas à célula original.,0.0,0.0
Biologia,Geral,O que é a meiose?,"A meiose é o processo de divisão celular que ocorre nas células germinativas, resultando na formação de células filhas com metade do número de cromossomos da célula original.",0.0,0.0
Biologia,Geral,O que é a fotossíntese?,"A fotossíntese é o processo realizado pelos organismos fotossintetizantes, como as plantas, em que a energia luminosa é convertida em energia química, transformando dióxido de carbono e água em glicose e liberando oxigênio.",0.0,0.0
Biologia,Geral,O que é a respiração celular?,"A respiração celular é o processo em que as células utilizam a glicose e o oxigênio para produzir energia na forma de adenosina trifosfato (ATP), liberando dióxido de carbono e água como subprodutos.",0.0,0.0
Biologia,Geral,O que é o DNA?,O DNA é uma molécula presente em todas as células que contém as informações genéticas necessárias para o desenvolvimento e funcionamento dos organismos.,0.0,0.0
Biologia,Geral,O que é evolução?,"A evolução é o processo gradual de mudança nas características hereditárias de uma população ao longo das gerações, geralmente devido à seleção natural.",0.0,0.0
Biologia,,O que é um gene?,Um gene é uma sequência específica de DNA que contém as instruções para a produção de uma proteína ou para a regulação de processos celulares.,0.0,0.0
Biologia,Geral,O que é ecossistema?,"Um ecossistema é uma comunidade de seres vivos interagindo entre si e com o ambiente físico ao seu redor, incluindo fatores bióticos (organismos) e abióticos (clima, solo, etc.).",0.0,0.0
Biologia,Geral,Explique o que são hormônios:,"Os hormônios são substâncias químicas produzidas por glândulas endócrinas que regulam diversas funções do organismo, atuando como mensageiros químicos.",0.0,0.0
Biologia,Geral,O que é a homeostase?,A homeostase é o processo de autorregulação do ambiente interno do organismo para manter condições estáveis e adequadas para o funcionamento adequado das células e dos sistemas do corpo.,0.0,0.0
Biologia,Geral,O que é osmose?,"A osmose é o movimento de água através de uma membrana semipermeável, do meio com menor concentração de solutos para o meio com maior ",0.0,0.0
Biologia,Geral,O que são células procarióticas?,"Células procarióticas são células que não possuem um núcleo definido e organelas membranosas, sendo encontradas em bactérias e arqueias.",0.0,0.0
Biologia,Geral,O que são célular eucarióticas?,"Células eucarióticas são células que possuem um núcleo definido, envolvido por uma membrana nuclear, e organelas membranosas, sendo encontradas em organismos multicelulares, como animais, plantas e fungos.",0.0,0.0
Biologia,Geral,O que é a teoria da evolução por seleção natural?,"A teoria da evolução por seleção natural, proposta por Charles Darwin, afirma que os organismos mais bem adaptados ao ambiente têm mais chances de sobreviver e se reproduzir, transmitindo suas características vantajosas às gerações futuras.",0.0,0.0
Biologia,Geral,O que são enzimas?,"Enzimas são proteínas especializadas que atuam como catalisadoras de reações químicas no interior das células, acelerando as taxas das reações biológicas.",0.0,0.0
Biologia,Geral,Explique a cadeia alimentar:,"A cadeia alimentar é uma sequência linear de organismos em que cada um serve de alimento para o próximo, mostrando as interações alimentares em um ecossistema.",0.0,0.0
Biologia,Geral,O que são neurotransmissores?,"Neurotransmissores são substâncias químicas produzidas pelos neurônios que transmitem sinais elétricos e químicos entre as células nervosas, permitindo a comunicação no sistema nervoso.",0.0,0.0
Biologia,Geral,O que é hereditariedade?,"A hereditariedade é a transmissão de características genéticas de uma geração para outra, ocorrendo por meio do DNA contido nos genes dos organismos.",0.0,0.0
Biologia,Geral,O que é a síntese proteica?,A síntese proteica é o processo pelo qual as células produzem proteínas a partir das informações contidas no DNA.,0.0,0.0
Biologia,Geral,O que é bioacumulação?,"A bioacumulação é o acúmulo progressivo de substâncias tóxicas em organismos ao longo da cadeia alimentar, resultando em concentrações cada vez mais elevadas dessas substâncias nos níveis tróficos superiores.",0.0,0.0
Biologia,Geral,Explique o que é homeostase térmica:,"A homeostase térmica é a capacidade do organismo de manter uma temperatura corporal estável e adequada para o seu funcionamento, mesmo diante de mudanças no ambiente externo.",0.0,0.0
Biologia,Geral,Explique a cadeia respiratória:,"A cadeia respiratória é um processo metabólico que ocorre nas mitocôndrias, no qual ocorre a produção de energia na forma de ATP a partir da oxidação de moléculas de nutrientes.",0.0,0.0
Química,Geral,Teste,teste,0.0,0.0
Química,Geral,Teste de pergunta,Teste de pergunta,0.0,0.0
